slang	formal
gue ga belajar karena sakit	saya tidak belajar karena sakit
besok gue akan ngbrl ke sklh	besok saya akan ngobrol ke sekolah
gw lagi jln di kafe	saya sedang pergi di kafe
bsk gw akan pergi ke warung	besok saya akan pergi ke warung
gue akan tdr jika kamu mo	saya akan tidur jika kamu mau
gw lg minum di kantor	saya sedang minum di kantor
gw udah mnm dan ingin istirahat	saya sudah minum dan ingin istirahat
gua blm kerja tugas dari sklh	saya belum kerja tugas dari sekolah
kmrn gw main bersama tmn	kemarin saya main bersama teman
gua akan pergi jika lu mau	saya akan pergi jika kamu mau
gue udah kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
hari ini gua mo ngantor dengan lu	hari ini saya mau kerja dengan kamu
ntr gua mkn setelah mkn	nanti saya makan setelah makan
kmrn gua main bersama tmn	kemarin saya main bersama teman
gue sdh makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gue ingin bobok di rumah saja	saya ingin tidur di rumah saja
hari ini gw mau belajar dengan lo	hari ini saya mau belajar dengan kamu
hari ini gua mo mnm dengan kamu	hari ini saya mau minum dengan kamu
gw akan kerja jika kamu mo	saya akan kerja jika kamu mau
kmrn gw jalan bersama sobat	kemarin saya pergi bersama teman
gw sdh mnm dan ingin istirahat	saya sudah minum dan ingin istirahat
gua belom minum tugas dari sekolah	saya belum minum tugas dari sekolah
gue ga jalan karena sakit	saya tidak pergi karena sakit
gue gk main karena sakit	saya tidak main karena sakit
gue ingin ngbrl di rumah saja	saya ingin ngobrol di rumah saja
bsk gw akan bobok ke kafe	besok saya akan tidur ke kafe
besok gua akan bobok ke kafe	besok saya akan tidur ke kafe
besok gw akan bljr ke kantor	besok saya akan belajar ke kantor
gua lg mkn di rmh	saya sedang makan di rumah
kmrn gue mnm bersama sobat	kemarin saya minum bersama teman
ntr gw ngantor setelah mkn	nanti saya kerja setelah makan
hari ini gw mo jalan dengan lo	hari ini saya mau pergi dengan kamu
hari ini gue mau main dengan lo	hari ini saya mau main dengan kamu
ntar gw ngbrl setelah makan	nanti saya ngobrol setelah makan
besok gua akan ngobrol ke kampus	besok saya akan ngobrol ke kampus
besok gue akan maen ke kafe	besok saya akan main ke kafe
gua lagi bljr di kafe	saya sedang belajar di kafe
gue akan bljr jika lu mo	saya akan belajar jika kamu mau
kmrn gua ngobrol bersama tmn	kemarin saya ngobrol bersama teman
gw lagi makan di kantor	saya sedang makan di kantor
gw ga mkn karena sakit	saya tidak makan karena sakit
kmrn gue kerja bersama tmn	kemarin saya kerja bersama teman
ntr gua jln setelah makan	nanti saya pergi setelah makan
ntar gua mkn setelah makan	nanti saya makan setelah makan
gw akan kerja jika kamu mau	saya akan kerja jika kamu mau
gua akan tdr jika kamu mo	saya akan tidur jika kamu mau
gua belom ngobrol tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gw sdh minum dan ingin istirahat	saya sudah minum dan ingin istirahat
gue sdh jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
ntr gue tdr setelah makan	nanti saya tidur setelah makan
kmrn gue makan bersama sobat	kemarin saya makan bersama teman
gw lg kerja di warung	saya sedang kerja di warung
gw udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
ntar gue jalan setelah makan	nanti saya pergi setelah makan
ntr gue minum setelah makan	nanti saya minum setelah makan
hari ini gua mo kerja dengan kamu	hari ini saya mau kerja dengan kamu
gue gk minum karena sakit	saya tidak minum karena sakit
kmren gue makan bersama tmn	kemarin saya makan bersama teman
gw lagi minum di kantor	saya sedang minum di kantor
gua ga kerja karena sakit	saya tidak kerja karena sakit
gw gk maen karena sakit	saya tidak main karena sakit
gue blm mkn tugas dari sekolah	saya belum makan tugas dari sekolah
gue nggak ngantor karena sakit	saya tidak kerja karena sakit
besok gue akan ngbrl ke kafe	besok saya akan ngobrol ke kafe
gw ga mnm karena sakit	saya tidak minum karena sakit
gue blm ngantor tugas dari sklh	saya belum kerja tugas dari sekolah
besok gw akan mnm ke sklh	besok saya akan minum ke sekolah
hari ini gw mau makan dengan kamu	hari ini saya mau makan dengan kamu
ntr gw ngantor setelah makan	nanti saya kerja setelah makan
ntar gua pergi setelah mkn	nanti saya pergi setelah makan
bsk gua akan tdr ke rmh	besok saya akan tidur ke rumah
hari ini gw mo mkn dengan lo	hari ini saya mau makan dengan kamu
gua ingin jln di rmh saja	saya ingin pergi di rumah saja
gua akan pergi jika kamu mau	saya akan pergi jika kamu mau
ntar gue mkn setelah makan	nanti saya makan setelah makan
hari ini gw mau main dengan lo	hari ini saya mau main dengan kamu
gw akan jln jika kamu mo	saya akan pergi jika kamu mau
bsk gw akan bljr ke sklh	besok saya akan belajar ke sekolah
gw lg ngantor di kampus	saya sedang kerja di kampus
gue akan maen jika lo mo	saya akan main jika kamu mau
kmrn gue main bersama sobat	kemarin saya main bersama teman
gw ingin kerja di rmh saja	saya ingin kerja di rumah saja
gw blm ngobrol tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gue akan ngantor jika lu mo	saya akan kerja jika kamu mau
kmrn gw jln bersama tmn	kemarin saya pergi bersama teman
gw belom bljr tugas dari sklh	saya belum belajar tugas dari sekolah
bsk gue akan mnm ke kampus	besok saya akan minum ke kampus
hari ini gua mo ngobrol dengan lo	hari ini saya mau ngobrol dengan kamu
gw akan maen jika kamu mau	saya akan main jika kamu mau
gua belom jln tugas dari sklh	saya belum pergi tugas dari sekolah
kmrn gua bobok bersama tmn	kemarin saya tidur bersama teman
gw gk ngbrl karena sakit	saya tidak ngobrol karena sakit
gw ingin belajar di rumah saja	saya ingin belajar di rumah saja
gue sdh jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
ntar gw kerja setelah makan	nanti saya kerja setelah makan
ntar gw ngantor setelah mkn	nanti saya kerja setelah makan
gw ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gue lg ngantor di sekolah	saya sedang kerja di sekolah
gua belom bljr tugas dari sekolah	saya belum belajar tugas dari sekolah
gua nggak jln karena sakit	saya tidak pergi karena sakit
kmrn gw main bersama sobat	kemarin saya main bersama teman
hari ini gua mo ngantor dengan kamu	hari ini saya mau kerja dengan kamu
gw udah ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
gua akan bljr jika lu mau	saya akan belajar jika kamu mau
ntar gw bobok setelah mkn	nanti saya tidur setelah makan
gw lagi kerja di kantor	saya sedang kerja di kantor
gue ga mkn karena sakit	saya tidak makan karena sakit
kmrn gua maen bersama sobat	kemarin saya main bersama teman
bsk gw akan belajar ke rmh	besok saya akan belajar ke rumah
kmren gw kerja bersama sobat	kemarin saya kerja bersama teman
gua blm bljr tugas dari sekolah	saya belum belajar tugas dari sekolah
bsk gua akan pergi ke kafe	besok saya akan pergi ke kafe
bsk gue akan ngbrl ke warung	besok saya akan ngobrol ke warung
ntr gw bobok setelah makan	nanti saya tidur setelah makan
gw gk maen karena sakit	saya tidak main karena sakit
bsk gue akan ngantor ke kampus	besok saya akan kerja ke kampus
kmren gw bljr bersama sobat	kemarin saya belajar bersama teman
ntar gue bobok setelah makan	nanti saya tidur setelah makan
gue akan mkn jika lo mau	saya akan makan jika kamu mau
gw ingin makan di rmh saja	saya ingin makan di rumah saja
gue udah bobok dan ingin istirahat	saya sudah tidur dan ingin istirahat
gue belom bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
gue gk belajar karena sakit	saya tidak belajar karena sakit
ntr gw makan setelah makan	nanti saya makan setelah makan
bsk gua akan belajar ke rmh	besok saya akan belajar ke rumah
gw belom kerja tugas dari sekolah	saya belum kerja tugas dari sekolah
gua nggak ngobrol karena sakit	saya tidak ngobrol karena sakit
ntar gue bljr setelah makan	nanti saya belajar setelah makan
ntr gw maen setelah makan	nanti saya main setelah makan
gua belom mkn tugas dari sekolah	saya belum makan tugas dari sekolah
kmren gw jln bersama tmn	kemarin saya pergi bersama teman
gw ingin pergi di rumah saja	saya ingin pergi di rumah saja
gue akan mkn jika lu mo	saya akan makan jika kamu mau
gua ingin belajar di rumah saja	saya ingin belajar di rumah saja
gue ga bljr karena sakit	saya tidak belajar karena sakit
gua ga bobok karena sakit	saya tidak tidur karena sakit
besok gw akan minum ke kampus	besok saya akan minum ke kampus
gue ga main karena sakit	saya tidak main karena sakit
gue lg minum di kantor	saya sedang minum di kantor
gue lg mkn di kampus	saya sedang makan di kampus
besok gw akan makan ke kampus	besok saya akan makan ke kampus
bsk gw akan maen ke rumah	besok saya akan main ke rumah
gue blm ngbrl tugas dari sklh	saya belum ngobrol tugas dari sekolah
bsk gue akan bobok ke kafe	besok saya akan tidur ke kafe
gw akan ngobrol jika kamu mau	saya akan ngobrol jika kamu mau
kmren gue jln bersama sobat	kemarin saya pergi bersama teman
gua nggak mnm karena sakit	saya tidak minum karena sakit
ntr gua jalan setelah makan	nanti saya pergi setelah makan
gw sdh kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
gw gk bobok karena sakit	saya tidak tidur karena sakit
hari ini gue mo mkn dengan kamu	hari ini saya mau makan dengan kamu
gua blm jln tugas dari sekolah	saya belum pergi tugas dari sekolah
ntr gw minum setelah mkn	nanti saya minum setelah makan
besok gua akan makan ke kampus	besok saya akan makan ke kampus
gue ingin ngbrl di rmh saja	saya ingin ngobrol di rumah saja
gw ga belajar karena sakit	saya tidak belajar karena sakit
gue belom ngobrol tugas dari sklh	saya belum ngobrol tugas dari sekolah
gw gk mnm karena sakit	saya tidak minum karena sakit
hari ini gua mo jalan dengan kamu	hari ini saya mau pergi dengan kamu
gw ingin minum di rmh saja	saya ingin minum di rumah saja
ntr gua tdr setelah makan	nanti saya tidur setelah makan
besok gw akan ngantor ke kampus	besok saya akan kerja ke kampus
kmren gua belajar bersama sobat	kemarin saya belajar bersama teman
gw nggak belajar karena sakit	saya tidak belajar karena sakit
hari ini gue mo maen dengan lo	hari ini saya mau main dengan kamu
ntr gue mnm setelah makan	nanti saya minum setelah makan
gue ingin ngbrl di rmh saja	saya ingin ngobrol di rumah saja
gua akan tdr jika kamu mau	saya akan tidur jika kamu mau
bsk gua akan ngobrol ke kampus	besok saya akan ngobrol ke kampus
gue akan ngantor jika lu mo	saya akan kerja jika kamu mau
gue sdh kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
gw nggak mnm karena sakit	saya tidak minum karena sakit
bsk gua akan bljr ke kafe	besok saya akan belajar ke kafe
gw lagi jalan di sklh	saya sedang pergi di sekolah
gw ingin maen di rmh saja	saya ingin main di rumah saja
gua gk ngbrl karena sakit	saya tidak ngobrol karena sakit
ntar gua minum setelah makan	nanti saya minum setelah makan
hari ini gua mo ngantor dengan lo	hari ini saya mau kerja dengan kamu
hari ini gue mau ngantor dengan lo	hari ini saya mau kerja dengan kamu
gw blm mkn tugas dari sklh	saya belum makan tugas dari sekolah
gw ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gw udah jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
ntar gue tdr setelah makan	nanti saya tidur setelah makan
gua ga jln karena sakit	saya tidak pergi karena sakit
bsk gw akan bljr ke rumah	besok saya akan belajar ke rumah
ntar gue makan setelah makan	nanti saya makan setelah makan
ntar gw ngantor setelah makan	nanti saya kerja setelah makan
gue lagi kerja di rmh	saya sedang kerja di rumah
gue belom makan tugas dari sklh	saya belum makan tugas dari sekolah
gue sdh ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gua udah mkn dan ingin istirahat	saya sudah makan dan ingin istirahat
gw lg ngobrol di kafe	saya sedang ngobrol di kafe
bsk gue akan ngobrol ke sklh	besok saya akan ngobrol ke sekolah
gua gk maen karena sakit	saya tidak main karena sakit
gue ga pergi karena sakit	saya tidak pergi karena sakit
gue ingin tdr di rumah saja	saya ingin tidur di rumah saja
ntar gua jln setelah makan	nanti saya pergi setelah makan
gue gk kerja karena sakit	saya tidak kerja karena sakit
bsk gue akan mnm ke kafe	besok saya akan minum ke kafe
bsk gua akan bljr ke sklh	besok saya akan belajar ke sekolah
ntar gue ngobrol setelah mkn	nanti saya ngobrol setelah makan
bsk gw akan ngantor ke kampus	besok saya akan kerja ke kampus
hari ini gw mo pergi dengan lo	hari ini saya mau pergi dengan kamu
gua blm tdr tugas dari sekolah	saya belum tidur tugas dari sekolah
gue gk makan karena sakit	saya tidak makan karena sakit
kmren gua minum bersama tmn	kemarin saya minum bersama teman
kmrn gue mnm bersama tmn	kemarin saya minum bersama teman
gua akan jalan jika lu mo	saya akan pergi jika kamu mau
gua lg bljr di rmh	saya sedang belajar di rumah
kmrn gw bljr bersama sobat	kemarin saya belajar bersama teman
hari ini gw mau belajar dengan lu	hari ini saya mau belajar dengan kamu
gue lagi bljr di kafe	saya sedang belajar di kafe
kmrn gue ngbrl bersama tmn	kemarin saya ngobrol bersama teman
bsk gue akan ngbrl ke kantor	besok saya akan ngobrol ke kantor
gua ingin mnm di rumah saja	saya ingin minum di rumah saja
hari ini gua mo pergi dengan kamu	hari ini saya mau pergi dengan kamu
gua akan tdr jika kamu mo	saya akan tidur jika kamu mau
gua udah makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gw lagi jalan di warung	saya sedang pergi di warung
gw lg mkn di kantor	saya sedang makan di kantor
gw blm bljr tugas dari sekolah	saya belum belajar tugas dari sekolah
gw sdh bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
hari ini gue mau bobok dengan kamu	hari ini saya mau tidur dengan kamu
gua sdh minum dan ingin istirahat	saya sudah minum dan ingin istirahat
gua akan ngbrl jika lo mo	saya akan ngobrol jika kamu mau
gw nggak minum karena sakit	saya tidak minum karena sakit
gue lg mnm di rmh	saya sedang minum di rumah
gua lg mkn di sklh	saya sedang makan di sekolah
hari ini gw mo ngantor dengan lo	hari ini saya mau kerja dengan kamu
gua gk bobok karena sakit	saya tidak tidur karena sakit
gua lg mnm di kafe	saya sedang minum di kafe
gua udah pergi dan ingin istirahat	saya sudah pergi dan ingin istirahat
gua lg jln di rumah	saya sedang pergi di rumah
besok gua akan main ke kampus	besok saya akan main ke kampus
gua blm jalan tugas dari sekolah	saya belum pergi tugas dari sekolah
gw ingin tdr di rmh saja	saya ingin tidur di rumah saja
gua akan pergi jika lo mau	saya akan pergi jika kamu mau
kmren gue mnm bersama sobat	kemarin saya minum bersama teman
gua gk bobok karena sakit	saya tidak tidur karena sakit
kmrn gw kerja bersama tmn	kemarin saya kerja bersama teman
hari ini gua mo kerja dengan kamu	hari ini saya mau kerja dengan kamu
gua ingin tdr di rumah saja	saya ingin tidur di rumah saja
bsk gua akan makan ke kantor	besok saya akan makan ke kantor
gue ingin ngobrol di rmh saja	saya ingin ngobrol di rumah saja
gua akan ngantor jika kamu mau	saya akan kerja jika kamu mau
bsk gua akan main ke warung	besok saya akan main ke warung
hari ini gue mo ngantor dengan kamu	hari ini saya mau kerja dengan kamu
gue blm bljr tugas dari sekolah	saya belum belajar tugas dari sekolah
hari ini gw mo ngobrol dengan kamu	hari ini saya mau ngobrol dengan kamu
gua sdh ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
gua ingin belajar di rumah saja	saya ingin belajar di rumah saja
hari ini gw mau minum dengan kamu	hari ini saya mau minum dengan kamu
gua blm ngobrol tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gue ingin makan di rumah saja	saya ingin makan di rumah saja
hari ini gue mo jalan dengan lo	hari ini saya mau pergi dengan kamu
gua ga tdr karena sakit	saya tidak tidur karena sakit
gue akan makan jika lo mo	saya akan makan jika kamu mau
gua akan pergi jika kamu mo	saya akan pergi jika kamu mau
ntar gue ngobrol setelah mkn	nanti saya ngobrol setelah makan
gue udah minum dan ingin istirahat	saya sudah minum dan ingin istirahat
ntar gue mkn setelah makan	nanti saya makan setelah makan
